item Name,Category,Model name,Manufacturer,Model Number,Serial number,Asset Tag,Location,Notes,Purchase Date,Purchase Cost,Company,Status,Warranty,Supplier
eget nunc donec quis,quam,massa id,Linkbridge,6377018600094472,27aa8378-b0f4-4289-84a4-405da95c6147,970882174-8,Daping,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",2016-04-05,133289.59,Alpha,Undeployable,14,Blogspan
mi in porttitor,justo,congue diam id,Flipstorm,5.02043359569189E+018,4bc7fc90-5a97-412f-8eed-77ecacc643fc,544574073-0,Cirangga Kidul,,2016-03-08,763.46,,Undeployable,12,Oyope
morbi quis tortor id,nunc nisl duis,convallis tortor risus,Lajo,374622546776765,2837ab20-8f0d-4935-8a52-226392f2b1b0,710141467-2,Shekou,In congue. Etiam justo. Etiam pretium iaculis justo.,2015-08-09,233.57,Konklab,Lost,,
amet cursus id turpis,sed,in faucibus orci,Zoomlounge,3549618015236095,18d6e6a4-d362-4de9-beb4-7f62fb93de6f,103538064-1,Leksand,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,2015-10-11,,,Pending Diagnostics,,
ipsum praesent,condimentum curabitur,et ultrices,Kazu,3567082842822626,f9b473c6-c810-42f2-8335-27ce468889a8,118753405-6,Dresi Wetan,,2015-06-16,324.8,,Ready to Deploy,,
dictumst maecenas ut,sem praesent,accumsan felis,Layo,30052522651756,4751495c-cee0-4961-b788-94a545b5643e,998233705-X,Dante Delgado,,2016-04-16,261.79,,Archived,15,Ntag
libero nam,risus,interdum mauris,Twiyo,3585438057660291,17b3cf8d-fead-46f5-a8b0-49906bb90a00,177687256-8,Pingle,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2015-05-24,,,Pending Diagnostics,,
mauris morbi non,ante vel,sapien dignissim,Cogibox,3548511052883500,7a6a2fdb-160c-4d91-8e05-a0337a90d9db,129556040-2,Zhuli,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,2015-09-15,434.86,,Archived,14,Kwilith
eleifend pede libero,sapien a libero,et ultrices posuere cubilia,Flipbug,6.75911579996746E+017,c1a57909-3b2e-47fe-ab2f-843401b2a7de,117517007-0,Niopanda,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",2016-04-13,89.53,,Archived,15,Linkbridge
convallis nulla neque,eu sapien,duis mattis egestas metus aenean,Centimia,378342677410961,07540238-fb3c-4c8a-8e11-d43883ee4268,007968217-0,Zoumaling,,2015-07-04,,,Lost,,
in felis,leo odio,quam sapien varius,Roombo,201954480670574,527b2445-2c67-4f76-912f-6ec42400a584,441402118-9,Luts’k,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,2016-05-18,,Bitwolf,Lost,36,Wikizz
vel ipsum praesent,potenti nullam porttitor,augue vestibulum rutrum rutrum neque,Yakijo,3567636803247485,,863829558-8,Pravdinsk,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2015-11-10,,,Lost,14,Linkbridge
odio elementum,posuere cubilia curae,ante vel ipsum praesent blandit,Oyope,3529462300753736,9a863968-180e-451d-a723-dc85e2d5d8ff,742114860-4,Panay,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,2016-03-20,881.4,,,30,Tagcat
viverra diam vitae,semper sapien,dapibus dolor vel,Flashset,3559785746335392,e287bb64-ff4f-434c-88ab-210ad433c77b,927820758-6,Achiaman,,2016-03-05,675.3,,Archived,22,Meevee
felis sed interdum venenatis,id lobortis,dui proin,Chatterbridge,4070995882635,90bcab28-ffd4-48c9-ba5d-c2eeb1400698,789757925-5,Oemanu,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,2015-07-25,,,Ready to Deploy,30,Shuffledrive
id consequat,justo nec,odio porttitor id consequat in,Skipstorm,36309149183447,08e440f7-bd0b-47a7-a577-4a3ce3c7dfe7,202652281-2,Qiaolin,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2015-08-13,446.22,,Lost,,
porta volutpat quam pede,in hac habitasse,donec vitae nisi nam,Devpulse,3543783295297294,5f900903-0ffe-4405-b5ad-aa4aa59d911c,210119288-8,Accha,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",2015-12-24,923.9,,Lost,20,Quamba
libero nam dui proin,aliquet at feugiat,eget tincidunt eget tempus,Photobug,201967051902986,bde85740-f103-4b49-a691-a60c7f6859a8,022102715-7,Kerkrade,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,2016-03-29,,,Undeployable,22,Browsedrive
sociis natoque penatibus,vel est,at diam nam,Photofeed,3533016005480310,bf4a2a92-6f29-4d24-be90-8126d4dcbd64,610672722-8,Villa Regina,,2016-05-13,442.51,,Archived,28,Tekfly
sed tristique in,rutrum,luctus et ultrices,Riffpath,4547299861035,9a02817e-de79-4850-a212-84c9ae3dd1a2,898880851-7,Tibro,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,2015-09-10,906.39,,Undeployable,,
dui luctus rutrum,sapien ut nunc,dictumst morbi vestibulum,Aivee,4405382067928809,514aca2a-9080-4c49-8695-7ba4c78edc65,466008300-4,Menglie,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,2015-12-21,151.27,,,,
ut massa volutpat,sed,quis odio consequat varius integer,Abatz,3537252931689981,b99208e2-b8d8-4f7a-8a06-366a27733b97,313295582-5,Solidaridad,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2016-02-15,211.07,,,,
habitasse platea dictumst,primis in faucibus,quam a odio in,Blogtag,5018304036665243,c8680b36-a13c-427f-a6a1-1b9b351eb129,552327520-4,Sorinomo,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,2015-11-25,112.11,,Ready to Deploy,18,Quatz
leo pellentesque ultrices,vestibulum,in sapien iaculis congue vivamus,Brightdog,30355105682126,6c1e7556-063f-4c71-87ce-e46b06e8c238,446504693-6,Tamel,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",2015-08-19,221.03,,Undeployable,26,Mydeo
suspendisse potenti nullam,magnis dis parturient,at nibh in hac,Voolia,5.02034519834773E+017,95605fc3-f82e-4472-a2b0-93acd5e255ed,860990227-7,Tučepi,,2015-06-08,443.05,,Archived,35,Aimbu
nam nulla integer,praesent,turpis adipiscing lorem vitae,Divape,5.02036965260033E+016,53d9eef2-e0f8-4c81-9a31-8c12e4f52ab0,536251475-X,Peddie,Phasellus in felis. Donec semper sapien a libero. Nam dui.,2015-06-08,79.2,Zaam-Dox,Ready to Deploy,,
cras mi pede malesuada,odio,aliquam augue quam sollicitudin,Thoughtsphere,5610480952189632,50d3ba91-06d6-4453-84ff-5ed801d3faa5,148599723-2,Betafo,,2016-03-06,321.96,,Archived,,
duis faucibus accumsan,ipsum aliquam,metus vitae ipsum,Jabbertype,4017954952198803,d4f93ed0-5010-4026-9d3f-0e59e0efee15,416706302-6,Margate,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",2015-08-06,211.17,,Ready to Deploy,,
non ligula pellentesque ultrices,arcu adipiscing molestie,vestibulum ante ipsum,Shuffletag,3575254429008123,657a313a-361c-4733-b444-ec26dc02fdfe,065976674-4,Igurubi,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",2016-04-15,,,,26,Wikido
duis aliquam convallis,potenti cras in,enim blandit,Twitterlist,604923914546620,98080972-ad72-4581-8aee-ec78a6b3f528,712283421-2,Kuala Lumpur,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,2015-09-05,744.98,,Lost,,
massa id nisl,est,sit amet erat nulla,Browsecat,3553184613730081,fb146f1d-b0ed-4ffc-8653-3ad0afe99dd0,666189117-3,Saint-Étienne,,2016-03-14,,,Undeployable,14,Jabbersphere
arcu adipiscing,duis faucibus accumsan,nisi venenatis,Shuffledrive,374622582923529,7820e851-362b-4187-b64a-c1ef8800fbce,323903931-1,Jinxiang,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",2015-08-05,697.01,,Pending Diagnostics,17,Vipe
eget eros,sapien varius,morbi non quam nec,Eamia,374283210933313,9c67b528-2389-4733-92e7-a09415649c72,172486278-2,Neuzina,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",2015-10-07,541.17,,,,
ut suscipit a feugiat,in faucibus,neque vestibulum eget,Quamba,5553781723608266,,620738847-X,Agpangi,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2015-05-31,199.6,,Pending Diagnostics,,
morbi non quam nec,faucibus,eu orci mauris lacinia,Meevee,374283689607158,1a67f546-8de4-4d2d-b32f-6c1605cac858,786105964-2,Dallas,,2016-04-01,19.94,,Archived,33,Meembee
habitasse platea dictumst etiam,fermentum donec ut,diam vitae quam suspendisse,Jaxspan,372301567804085,71a5bd14-ba88-4cda-860d-9ca62347ba8d,539439867-4,Joševa,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,2016-04-09,,,Ready to Deploy,22,Zoombeat
sed tristique in tempus,sodales scelerisque mauris,nullam porttitor,Oozz,4508062466823480,2b9c723e-e530-44c5-ab95-72f3ad50a631,526130314-1,Tawau,Sed ante. Vivamus tortor. Duis mattis egestas metus.,2016-03-10,815,Flexidy,Pending Diagnostics,36,Bluejam
proin at,justo in,sed magna at nunc commodo,Nlounge,3567972196880867,f2c0248d-b6f6-42bf-a9a2-49c54372c01c,558108071-2,Valejas,,2015-07-27,,,Lost,35,Quire
in hac habitasse platea,semper porta volutpat,proin eu,Rhyloo,6.30429100938515E+017,6e9c56b8-5266-47f1-86bc-f73a0d42b05e,562820613-X,Bulacnin,,2015-07-05,665.67,,Lost,,
tincidunt nulla,turpis elementum,lobortis convallis tortor,Divavu,5102767739445831,db9913ae-d9ba-4653-aae5-590c2a3b5a69,943970793-3,Mayenne,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,2016-01-09,468.49,,Pending Diagnostics,33,Dynava
imperdiet et commodo,vel,quis odio consequat varius,Camido,30453934961421,a6f3372c-73f1-4857-8ae6-432a2bdfd1c2,372636920-1,Shuiying,,2015-08-15,,,Archived,,
nulla suscipit ligula,eros elementum,felis fusce posuere,Zoomcast,3545613507860779,1c0928ec-2ef7-430b-a556-18b33451612b,903861200-1,Kahuripan,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,2016-03-29,721.77,,Pending Diagnostics,,
primis in faucibus orci,porttitor pede justo,lorem quisque ut erat curabitur,Myworks,5127488524926932,3efa8d3c-01b2-408e-b592-f8cf18a510f4,413846137-X,Charneca,,2015-11-09,293.99,Trippledex,Pending Diagnostics,29,Devify
aliquet pulvinar,tincidunt,rutrum at lorem,Meembee,5428127866845021,ef71ff15-fae8-4f6b-a19c-9277d5a29df9,762391548-7,Szydłowo,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,2015-12-23,15,,,,
pede venenatis,magna,id pretium,Shuffledrive,201495288158933,eab62ffe-2e0b-4c77-8aa2-133d27bb90ab,309187247-5,Jinglongqiao,,2015-08-12,572.92,,Undeployable,21,Twimbo
nibh ligula,nibh in,lobortis vel dapibus,Brightbean,3567448770139061,42ec7b7d-5a37-4587-a3a7-e038ed650e94,741760231-2,Waenenda,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,2015-11-01,,,Pending Diagnostics,,
metus vitae ipsum aliquam,in felis,sapien non mi,Jabbertype,3578620483518354,70e99274-5df6-4f1f-b2cc-3f9cffd3a828,387700497-0,Siedlce,,2015-06-07,983.85,,Ready to Deploy,,
semper est,primis in faucibus,justo in hac habitasse platea,Dabvine,4.93639139113611E+018,e8aa6b0f-8f69-45cd-972c-b2b1e0415061,286742654-5,Minggang,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2015-08-10,,,,,
non ligula,fusce posuere,ac enim in tempor,Youtags,5610029611282179,,226358965-1,Santa Gertrudes,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,2016-03-05,387.62,,Lost,29,Zava
nisl venenatis,sodales,varius nulla facilisi cras non,Realbuzz,201496591284085,2952e308-122a-45ea-ac49-a836ca71a597,403999355-1,Huanxi,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",2016-04-10,925.87,,,,
sapien ut nunc,ultrices posuere cubilia,rhoncus mauris enim,Skibox,6.7712495618249E+018,3c1b4617-2219-419e-87fb-d654a0dab45e,756532468-X,Vyshniy Volochëk,In congue. Etiam justo. Etiam pretium iaculis justo.,2015-09-21,271.56,,Pending Diagnostics,,
congue etiam justo,potenti nullam,congue risus semper porta,Oba,3571347945178711,9637ee81-b7ae-4465-8d19-61eec98ddf7f,577368722-4,Mostovskoy,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",2015-07-27,,,,24,Edgeblab
cursus vestibulum proin,ut volutpat,vel est donec odio justo,Skinte,6.33486824760947E+017,0bd330d0-3bde-4c47-a156-06a34435d8b4,058534741-7,Santa Rosa del Sara,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2016-04-26,,,Archived,36,Wikizz
sapien urna,habitasse,eget semper rutrum nulla nunc,Browsecat,5010125018500456,bf03e70c-fb5d-4164-ab40-9b96d5465e6c,629074247-7,Bonneuil-sur-Marne,Phasellus in felis. Donec semper sapien a libero. Nam dui.,2016-03-21,810.91,,,12,Brainlounge
eros vestibulum ac,nulla justo,natoque penatibus et magnis dis,Feedmix,3588017259302337,f0d7f3c9-dfea-4bb6-a401-571fffbf3090,984987793-6,Palue,,2015-10-02,718.94,,Ready to Deploy,34,Midel
erat vestibulum sed magna,ipsum,eget eleifend luctus ultricies,Skipfire,3531685576372114,343daa1a-d1f8-4ffb-8368-a26670381a40,604121509-0,Medicine Hat,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2016-01-04,,,,,
eros viverra,velit nec,mauris laoreet ut rhoncus aliquet,Jaxnation,5002354307429629,f66bce43-fccf-49d9-94d1-cb0b8fe56472,546719356-2,Qigzhi,,2015-11-21,585.87,,Pending Diagnostics,,
non velit nec nisi,orci luctus et,sed vestibulum,Katz,30501008655301,e3d0a6ac-024b-4c21-ac30-536e6c3d5959,404764262-2,Mojokerto,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",2016-02-03,605.49,,,32,Shufflester
